,Mnemonic,bitpat,FORMAT,FORMAT_OLD,SRC1,SRC2,SRC3,SRC4,SRC5,DEST1,DEST2,DEST3,DEST4,DEST5,Special Behavior,"Context 
Synchronizing?",BOOK,PAGE,Versions,Priveledge,Mode Dep,Name,Unsure,"Doable but
Laborious",MicroWatt Support,PythonWatt Support,MicroPython
34,fctiwu[.],111111 ..... ///// ..... 00100 01110.,X36,X,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,162,v2.06,,,Floating Convert with round Double-Precision To Unsigned Word format,,,,,
35,fctiwuz[.],111111 ..... ///// ..... 00100 01111.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,163,v2.06,,,Floating Convert with round to Zero Double-Precision To Unsigned Word format,,,,,
36,fctiwz[.],111111 ..... ///// ..... 00000 01111.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,162,P2,,,Floating Convert with round to Zero Double-Precision To Signed Word format,,,,,
37,fdiv[.],111111 ..... ..... ..... ///// 10010.,A3,A,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,153,P1,,,Floating Divide,,X,,,
38,fdivs[.],111011 ..... ..... ..... ///// 10010.,A3,A,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,153,PPC,,,Floating Divide Single,,X,,,
39,fmul[.],111111 ..... ..... ///// ..... 11001.,A2,A,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,153,P1,,,Floating Multiply,,,,,
40,fre[.],111111 ..... ///// ..... ///// 11000.,A1,A,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,154,v2.02,,,Floating Reciprocal Estimate,,,,,
41,fres[.],111011 ..... ///// ..... ///// 11000.,A1,A,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,154,PPC,,,Floating Reciprocal Estimate Single,,,,,
42,frim[.],111111 ..... ///// ..... 01111 01000.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,166,v2.02,,,Floating Round To Integer Minus,,,,,
43,frin[.],111111 ..... ///// ..... 01100 01000.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,166,v2.02,,,Floating Round To Integer Nearest,,,,,
44,frip[.],111111 ..... ///// ..... 01110 01000.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,166,v2.02,,,Floating Round To Integer Plus,,,,,
45,friz[.],111111 ..... ///// ..... 01101 01000.,X36,X,,,,FPR,,FPR,FPSCR,FPSCR,CR1,,,,I,166,v2.02,,,Floating Round To Integer Zero,,,,,
46,frsp[.],111111 ..... ///// ..... 00000 01100.,X36,X,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,159,P1,,,Floating Round to Single-Precision,,,,,
47,frsqrte[.],111111 ..... ///// ..... ///// 11010.,A1,A,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,155,PPC,,,Floating Reciprocal Square Root Estimate,,,,,
48,frsqrtes[.],111011 ..... ///// ..... ///// 11010.,A1,A,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,155,v2.02,,,Floating Reciprocal Square Root Estimate Single,,,,,
49,fsqrt[.],111111 ..... ///// ..... ///// 10110.,A1,A,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,154,P2,,,Floating Square Root,,,,,
50,fsqrts[.],111011 ..... ///// ..... ///// 10110.,A1,A,,,,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,154,PPC,,,Floating Square Root Single,,,,,
51,fsub[.],111111 ..... ..... ..... ///// 10100.,A3,A,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,152,P1,,,Floating Subtract,,,,,
52,fsubs[.],111011 ..... ..... ..... ///// 10100.,A3,A,,,FPR,FPR,FPSCR,FPR,FPSCR,FPSCR,CR1,,,,I,152,PPC,,,Floating Subtract Single,,,,,
53,daddq[.],111111 ..... ..... ..... 00000 00010.,X51,X,FPR,FPR,FPR,FPR,FPSCR,FPR,FPR,FPSCR,FPSCR,CR1,,,I,193,v2.05,,,DFP Add Quad,,,,,
54,ddivq[.],111111 ..... ..... ..... 10001 00010.,X51,X,FPR,FPR,FPR,FPR,FPSCR,FPR,FPR,FPSCR,FPSCR,CR1,,,I,196,v2.05,,,DFP Divide Quad,,X,,,
55,dmulq[.],111111 ..... ..... ..... 00001 00010.,X51,X,FPR,FPR,FPR,FPR,FPSCR,FPR,FPR,FPSCR,FPSCR,CR1,,,I,195,v2.05,,,DFP Multiply Quad,,,,,
56,dsubq[.],111111 ..... ..... ..... 10000 00010.,X51,X,FPR,FPR,FPR,FPR,FPSCR,FPR,FPR,FPSCR,FPSCR,CR1,,,I,193,v2.05,,,DFP Subtract Quad,,,,,
57,dquaq[.],111111 ..... ..... ..... ..000 00011.,Z23_6,Z23,FPR,FPR,FPR,FPR,,FPR,FPR,FPSCR,FPSCR,CR1,,,I,204,v2.05,,,DFP Quantize Quad,,,,,
58,dcffixq[.],111111 ..... ///// ..... 11001 00010.,X48,X,,,,FPR,,FPR,FPR,FPSCR,FPSCR,CR1,,,I,215,v2.05,,,DFP Convert From Fixed Quad,,,,,
59,dctqpq[.],111111 ..... ///// ..... 01000 00010.,X48,X,,,,FPR,,FPR,FPR,FPSCR,FPSCR,CR1,,,I,213,v2.05,,,DFP Convert To DFP Extended,,,,,
60,denbcdq[.],111111 ..... .//// ..... 11010 00010.,X53,X,,,FPR,FPR,,FPR,FPR,FPSCR,FPSCR,CR1,,,I,217,v2.05,,,DFP Encode BCD To DPD Quad,,,,,
61,dquaiq[.],111111 ..... ..... ..... ..010 00011.,Z23_7,Z23,,,FPR,FPR,,FPR,FPR,FPSCR,FPSCR,CR1,,,I,203,v2.05,,,DFP Quantize Immediate Quad,,,,,
62,drdpq[.],111111 ..... ///// ..... 11000 00010.,X49,X,,,FPR,FPR,,FPR,FPR,FPSCR,FPSCR,CR1,,,I,214,v2.05,,,DFP Round To DFP Long,,,,,
63,drintnq[.],111111 ..... ////. ..... ..111 00011.,Z23_4,Z23,,,FPR,FPR,,FPR,FPR,FPSCR,FPSCR,CR1,,,I,211,v2.05,,,DFP Round To FP Integer Without Inexact Quad,,,,,
64,drintxq[.],111111 ..... ////. ..... ..011 00011.,Z23_4,Z23,,,FPR,FPR,,FPR,FPR,FPSCR,FPSCR,CR1,,,I,209,v2.05,,,DFP Round To FP Integer With Inexact Quad,,,,,
65,drrndq[.],111111 ..... ..... ..... ..001 00011.,Z23_5,Z23,,FPR,FPR,FPR,,FPR,FPR,FPSCR,FPSCR,CR1,,,I,206,v2.05,,,DFP Reround Quad,,,,,
66,tbegin.,011111 .///. ///// ///// 10100 011101,X17,X,,MSR,CIA,SPR,SPR,CR,SPR,SPR,MSR,,,,II,890,v2.07,,,Transaction Begin & record,X,,,,
67,tabortdc.,011111 ..... ..... ..... 11001 011101,X88,X,,MSR,GPR,GPR,SPR,CR,SPR,SPR,MSR,,,,II,894,v2.07,,,Transaction Abort Doubleword Conditional & record,X,,,,
68,tabortwc.,011111 ..... ..... ..... 11000 011101,X88,X,,MSR,GPR,GPR,SPR,CR,SPR,SPR,MSR,,,,II,893,v2.07,,,Transaction Abort Word Conditional & record,X,,,,
69,tabort.,011111 ///// ..... ///// 11100 011101,X5,X,,,,GPR,MSR,CR,SPR,SPR,MSR,,,,II,892,v2.07,,,Transaction Abort & record,X,,,,
70,tabortdci.,011111 ..... ..... ..... 11011 011101,X86,X,,,GPR,SPR,MSR,CR,SPR,SPR,MSR,,,,II,894,v2.07,,,Transaction Abort Doubleword Conditional Immediate & record,X,,,,
71,tabortwci.,011111 ..... ..... ..... 11010 011101,X86,X,,,GPR,SPR,MSR,CR,SPR,SPR,MSR,,,,II,893,v2.07,,,Transaction Abort Word Conditional Immediate & record,X,,,,
72,treclaim.,011111 ///// ..... ///// 11101 011101,X5,X,,,GPR,SPR,MSR,CR,SPR,SPR,MSR,,,,II,969,v2.07,,,Transaction Reclaim & record,X,,,,
73,sc,010001 ///// ///// ////. ..... .///1/,SC1,SC,,,,CIA,MSR,SPR,SPR,MSR,NIA,,"system-service dependent, and also hypervisor-mode dependent",Y,I,42,PPC,,,System Call,X,,Y,,
74,scv,010001 ///// ///// ////. ..... .///01,SC1,SC,,,,CIA,MSR,SPR,LR,MSR,NIA,,"system-service dependent, and also hypervisor-mode dependent",Y,I,42,v3.0,,,System Call Vectored,X,,,,
75,mtspr,011111 ..... ..... ..... 01110 10011/,XFX4,X,AMOR,PATE,GPR,SPR,MSR,SPR*,,,,,architecture/implementation-specific behavior,,X,117 974,P1,O,,Move To SPR,,,Y,,
76,dcmpoq,111111 ...// ..... ..... 00100 00010/,X23,X,FPR,FPR,FPR,FPR,,CR,FPSCR,FPSCR,,,,,I,199,v2.05,,,DFP Compare Ordered Quad,,,,,
77,dcmpuq,111111 ...// ..... ..... 10100 00010/,X23,X,FPR,FPR,FPR,FPR,,CR,FPSCR,FPSCR,,,,,I,198,v2.05,,,DFP Compare Unordered Quad,,,,,
78,dtstexq,111111 ...// ..... ..... 00101 00010/,X23,X,FPR,FPR,FPR,FPR,,CR,FPSCR,,,,,,I,201,v2.05,,,DFP Test Exponent Quad,,,,,
79,stfdpx,011111 ..... ..... ..... 11100 10111/,X34,X,FPR,FPR,GPR,GPR,,,,,,,,,I,149,v2.05,,,Store Floating Double Pair Indexed,,,,,
80,xsaddqp[o],111111 ..... ..... ..... 00000 00100.,X94,X,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,FPSCR,,,,,I,520,v3.0,,,VSX Scalar Add Quad-Precision [with round to Odd],,,,,
81,xscmpeqdp,111100 ..... ..... ..... 00000 011...,XX3_5,XX3,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,FPSCR,,,,,I,524,v3.0,,,VSX Scalar Compare Equal Double-Precision,,,,,
82,xscmpgedp,111100 ..... ..... ..... 00010 011...,XX3_5,XX3,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,,,,,,I,525,v3.0,,,VSX Scalar Compare Greater Than or Equal Double-Precision,,,,,
83,xscmpgtdp,111100 ..... ..... ..... 00001 011...,XX3_5,XX3,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,,,,,,I,526,v3.0,,,VSX Scalar Compare Greater Than Double-Precision,,,,,
84,xscmpoqp,111111 ...// ..... ..... 00100 00100/,X28,X,,VSR,VSR,FPSCR,MSR,CR,FPSCR,,,,,,I,529,v3.0,,,VSX Scalar Compare Ordered Quad-Precision,,,,,
85,xsdivqp[o],111111 ..... ..... ..... 10001 00100.,X94,X,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,FPSCR,,,,,I,564,v3.0,,,VSX Scalar Divide Quad-Precision [with round to Odd],,X,,,
86,xsmaddadp,111100 ..... ..... ..... 00100 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,570,v2.06,,,VSX Scalar Multiply-Add Type-A Double-Precision,,,,,
87,xsmaddasp,111100 ..... ..... ..... 00000 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,573,v2.07,,,VSX Scalar Multiply-Add Type-A Single-Precision,,,,,
88,xsmaddmdp,111100 ..... ..... ..... 00101 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,570,v2.06,,,VSX Scalar Multiply-Add Type-M Double-Precision,,,,,
89,xsmaddmsp,111100 ..... ..... ..... 00001 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,573,v2.07,,,VSX Scalar Multiply-Add Type-M Single-Precision,,,,,
90,xsmaxcdp,111100 ..... ..... ..... 10000 000...,XX3_5,XX3,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,,,,,,I,581,v3.0,,,VSX Scalar Maximum Type-C Double-Precision,,,,,
91,xsmaxjdp,111100 ..... ..... ..... 10010 000...,XX3_5,XX3,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,,,,,,I,583,v3.0,,,VSX Scalar Maximum Type-J Double-Precision,,,,,
92,xsmincdp,111100 ..... ..... ..... 10001 000...,XX3_5,XX3,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,,,,,,I,587,v3.0,,,VSX Scalar Minimum Type-C Double-Precision,,,,,
93,xsminjdp,111100 ..... ..... ..... 10011 000...,XX3_5,XX3,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,,,,,,I,589,v3.0,,,VSX Scalar Minimum Type-J Double-Precision,,,,,
94,xsmsubadp,111100 ..... ..... ..... 00110 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,591,v2.06,,,VSX Scalar Multiply-Subtract Type-A Double-Precision,,,,,
95,xsmsubasp,111100 ..... ..... ..... 00010 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,594,v2.07,,,VSX Scalar Multiply-Subtract Type-A Single-Precision,,,,,
96,xsmsubmdp,111100 ..... ..... ..... 00111 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,591,v2.06,,,VSX Scalar Multiply-Subtract Type-M Double-Precision,,,,,
97,xsmsubmsp,111100 ..... ..... ..... 00011 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,594,v2.07,,,VSX Scalar Multiply-Subtract Type-M Single-Precision,,,,,
98,xsmulqp[o],111111 ..... ..... ..... 00001 00100.,X94,X,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,FPSCR,,,,,I,602,v3.0,,,VSX Scalar Multiply Quad-Precision [with round to Odd],,,,,
99,xsnmaddadp,111100 ..... ..... ..... 10100 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,608,v2.06,,,VSX Scalar Negative Multiply-Add Type-A Double-Precision,,,,,
100,xsnmaddasp,111100 ..... ..... ..... 10000 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,613,v2.07,,,VSX Scalar Negative Multiply-Add Type-A Single-Precision,,,,,
101,xsnmaddmdp,111100 ..... ..... ..... 10101 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,608,v2.06,,,VSX Scalar Negative Multiply-Add Type-M Double-Precision,,,,,
102,xsnmaddmsp,111100 ..... ..... ..... 10001 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,613,v2.07,,,VSX Scalar Negative Multiply-Add Type-M Single-Precision,,,,,
103,xsnmsubadp,111100 ..... ..... ..... 10110 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,619,v2.06,,,VSX Scalar Negative Multiply-Subtract Type-A Double-Precision,,,,,
104,xsnmsubasp,111100 ..... ..... ..... 10010 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,622,v2.07,,,VSX Scalar Negative Multiply-Subtract Type-A Single-Precision,,,,,
105,xsnmsubmdp,111100 ..... ..... ..... 10111 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,619,v2.06,,,VSX Scalar Negative Multiply-Subtract Type-M Double-Precision,,,,,
106,xsnmsubmsp,111100 ..... ..... ..... 10011 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,FPSCR,,,,,I,622,v2.07,,,VSX Scalar Negative Multiply-Subtract Type-M Single-Precision,,,,,
107,xssubqp[o],111111 ..... ..... ..... 10000 00100.,X94,X,,VSR,VSR,FPSCR,MSR,VSR,FPSCR,FPSCR,,,,,I,647,v3.0,,,VSX Scalar Subtract Quad-Precision [with round to Odd],,,,,
108,xvmaddadp,111100 ..... ..... ..... 01100 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,701,v2.06,,,VSX Vector Multiply-Add Type-A Double-Precision,,,,,
109,xvmaddasp,111100 ..... ..... ..... 01000 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,704,v2.06,,,VSX Vector Multiply-Add Type-A Single-Precision,,,,,
110,xvmaddmsp,111100 ..... ..... ..... 01001 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,704,v2.06,,,VSX Vector Multiply-Add Type-M Single-Precision,,,,,
111,xvmsubadp,111100 ..... ..... ..... 01110 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,715,v2.06,,,VSX Vector Multiply-Subtract Type-A Double-Precision,,,,,
112,xvmsubasp,111100 ..... ..... ..... 01010 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,718,v2.06,,,VSX Vector Multiply-Subtract Type-A Single-Precision,,,,,
113,xvmsubmdp,111100 ..... ..... ..... 01111 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,715,v2.06,,,VSX Vector Multiply-Subtract Type-M Double-Precision,,,,,
114,xvnmaddadp,111100 ..... ..... ..... 11100 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,727,v2.06,,,VSX Vector Negative Multiply-Add Type-A Double-Precision,,,,,
115,xvnmaddasp,111100 ..... ..... ..... 11000 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,732,v2.06,,,VSX Vector Negative Multiply-Add Type-A Single-Precision,,,,,
116,xvnmaddmdp,111100 ..... ..... ..... 11101 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,727,v2.06,,,VSX Vector Negative Multiply-Add Type-M Double-Precision,,,,,
117,xvnmaddmsp,111100 ..... ..... ..... 11001 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,732,v2.06,,,VSX Vector Negative Multiply-Add Type-M Single-Precision,,,,,
118,xvnmsubadp,111100 ..... ..... ..... 11110 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,735,v2.06,,,VSX Vector Negative Multiply-Subtract Type-A Double-Precision,,,,,
119,xvnmsubasp,111100 ..... ..... ..... 11010 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,738,v2.06,,,VSX Vector Negative Multiply-Subtract Type-A Single-Precision,,,,,
120,xvnmsubmdp,111100 ..... ..... ..... 11111 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,735,v2.06,,,VSX Vector Negative Multiply-Subtract Type-M Double-Precision,,,,,
121,xvnmsubmsp,111100 ..... ..... ..... 11011 001...,XX3_5,XX3,VSR,VSR,VSR,,FPSCR,VSR,FPSCR,,,,,,I,738,v2.06,,,VSX Vector Negative Multiply-Subtract Type-M Single-Precision,,,,,
122,stqcx.,011111 ..... ..... ..... 00101 101101,X69,X,GPR,GPR,GPR,GPR,XER,CR,,,,,,,I,872,v2.07,,,Store Quadword Conditional Indexed & record,X,,,,
123,slbieg,011111 ..... ///// ..... 01110 10010/,X3,X,PIDR,LPIDR,GPR,GPR,MSR,SLBE,,,,,,,III,1025,v3.0,P,,SLB Invalidate Entry Global,X,,,,
124,tlbie,011111 ..... /.... ..... 01001 10010/,X57,X,,LPIDR,GPR,GPR,MSR,TLB,,,,,,,III,1034,P1,HV,64,TLB Invalidate Entry,X,,Y,,
125,xsmaddqp[o],111111 ..... ..... ..... 01100 00100.,X94,X,VSR,VSR,VSR,FPSCR,MSR,FPSCR,FPSCR,,,,,,I,576,v3.0,,,VSX Scalar Multiply-Add Quad-Precision [with round to Odd],,,,,
126,xsmsubqp[o],111111 ..... ..... ..... 01101 00100.,X94,X,VSR,VSR,VSR,FPSCR,MSR,VSR,FPSCR,FPSCR,,,,,I,597,v3.0,,,VSX Scalar Multiply-Subtract Quad-Precision [with round to Odd],,,,,
